256000: tensor(2.0571e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
257000: tensor(2.0416e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
258000: tensor(2.0262e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
259000: tensor(2.0110e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
260000: tensor(1.9959e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
261000: tensor(1.9811e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
262000: tensor(1.9664e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
263000: tensor(1.9521e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
264000: tensor(1.9381e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
265000: tensor(1.9242e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
266000: tensor(1.9104e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
267000: tensor(1.8968e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
268000: tensor(1.8833e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
269000: tensor(1.8700e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
270000: tensor(1.8570e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
271000: tensor(1.8441e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
272000: tensor(1.8313e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
273000: tensor(1.8187e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
274000: tensor(1.8064e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
275000: tensor(1.7942e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
276000: tensor(1.7822e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
277000: tensor(1.7703e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
278000: tensor(1.7586e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
279000: tensor(1.7470e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
280000: tensor(1.7355e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
281000: tensor(1.7242e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
282000: tensor(1.7131e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
283000: tensor(1.7021e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
284000: tensor(1.6912e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
285000: tensor(1.6804e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
286000: tensor(1.6698e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
287000: tensor(1.6592e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
288000: tensor(1.6488e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
289000: tensor(1.6384e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
290000: tensor(1.6282e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
291000: tensor(1.6181e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
292000: tensor(1.6081e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
293000: tensor(1.5983e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
294000: tensor(1.5886e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
295000: tensor(1.5790e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
296000: tensor(1.5695e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
297000: tensor(1.5601e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
298000: tensor(1.5508e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
299000: tensor(1.5416e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
300000: tensor(1.5325e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
301000: tensor(1.5235e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
302000: tensor(1.5146e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
303000: tensor(1.5058e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
304000: tensor(1.4971e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
305000: tensor(1.4885e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
306000: tensor(1.4799e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
307000: tensor(1.4714e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
308000: tensor(1.4630e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
309000: tensor(1.4546e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
310000: tensor(1.4464e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
311000: tensor(1.4382e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
312000: tensor(1.4300e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
313000: tensor(1.4219e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
314000: tensor(1.4139e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
315000: tensor(1.4059e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
316000: tensor(1.3981e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
317000: tensor(1.3902e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
318000: tensor(1.3825e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
319000: tensor(1.3748e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
320000: tensor(1.3672e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
321000: tensor(1.3596e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
322000: tensor(1.3521e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
323000: tensor(1.3445e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
324000: tensor(1.3370e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
325000: tensor(1.3295e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
326000: tensor(1.3221e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
327000: tensor(1.3147e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
328000: tensor(1.3074e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
329000: tensor(1.3001e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
330000: tensor(1.2929e-06, dtype=torch.float64, grad_fn=<MeanBackward0>)
